id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
277,toothbrush holder,toothbrush holder,tin can,tin can,0.8753299999999999,1.14247,1.00099,1.11521,0.91223,1.00925,0.00944
278,flowerpot,flowerpot,tin can,tin can,0.95885,1.08333,1.05486,1.09831,0.8209299999999999,1.00326,0.03864
279,glass,glass,tin can,tin can,0.95065,1.14978,1.0351,0.94323,1.24174,1.0641,0.05357
280,container to keep things in,container keep things,tin can,tin can,0.94401,1.05199,1.10524,1.03271,1.61165,1.14912,0.06484
281,a phone,phone,tin can,tin can,0.89913,1.02578,0.95281,0.96936,1.2729,1.024,-7.4e-4
282,if you poke holes in it you can use it as a shower head,poke holes can use shower head,tin can,tin can,0.79679,0.94117,1.04041,0.99046,0.30159,0.81408,-0.07637
283,as a weapon,weapon,tin can,tin can,0.88705,1.07782,0.96477,1.03601,1.3148900000000001,1.05611,0.00934
284,keep the window open,keep window open,tin can,tin can,0.96507,1.10249,1.03955,0.96805,1.6840000000000002,1.15183,0.07014
375,to drink from,drink,tin can,tin can,0.89777,1.08185,0.93314,0.9115800000000001,1.272,1.01927,0.00241
376,hang behind your car when you get married,hang behind car get married,tin can,tin can,1.00572,1.15672,0.95971,1.02092,1.62557,1.15373,0.08044
377,Use as a phone you know with one of those strings in between,use phone know one strings,tin can,tin can,0.85145,0.933,0.94168,1.0561,1.69445,1.09534,-0.01804
378,make music/sound with it,make music sound,tin can,tin can,0.91438,0.91597,1.00557,0.8311,1.6875499999999999,1.07091,0.00768
379,throwing against someone's head weapon,throwing someone head weapon,tin can,tin can,0.76921,0.86055,0.95114,1.01636,0.32269000000000003,0.78399,-0.11554
380,use in a work of art,use work art,tin can,tin can,1.05455,0.9575400000000001,0.97031,1.04508,1.70023,1.14554,0.07224
381,use as jewelry box,use jewelry box,tin can,tin can,1.02125,0.93596,0.99006,1.04365,1.7040899999999999,1.139,0.05905
382,crush and use in ice hockey,crush use ice hockey,tin can,tin can,0.83588,1.00817,1.10128,0.95743,0.36302,0.85316,-0.03718
383,take off the label and make an earring out of it,take label make earring,tin can,tin can,0.89319,1.02396,0.98018,1.03235,1.53213,1.09236,0.01383
384,use the label and cut something with it because it is sharp,use label cut something sharp,tin can,tin can,0.9454400000000001,1.03951,1.06796,0.94336,1.57375,1.114,0.05184
385,as a catch for the rain when it leaks,catch rain leaks,tin can,tin can,0.99516,1.01355,0.98799,0.9757,1.5337,1.10122,0.05227
386,as a vase,vase,tin can,tin can,1.10318,0.99177,1.03808,1.00658,0.92276,1.01247,0.0785
387,as a candle holder,candle holder,tin can,tin can,0.82138,1.07794,0.99276,0.88278,0.84829,0.92463,-0.03515
450,mirror,mirror,tin can,tin can,0.92326,1.04403,1.0711,0.98673,1.12009,1.02904,0.02838
451,car,car,tin can,tin can,0.96386,1.03691,0.99224,1.04108,1.33894,1.07461,0.03929
452,toys,toys,tin can,tin can,1.04971,1.0622,1.01186,0.98919,1.10227,1.04305,0.07044
453,jewelry,jewelry,tin can,tin can,1.0424,0.96668,0.99696,1.03663,1.1238,1.03329,0.0513
454,wallpaper as long as you stick enough next to each other,wallpaper long stick enough next,tin can,tin can,0.88979,1.08674,0.96298,1.0771,0.5791299999999999,0.91915,-0.01528
455,throwing equipment,throwing equipment,tin can,tin can,0.81258,0.99127,0.98524,0.92117,0.36648000000000003,0.81535,-0.07176
456,knife,knife,tin can,tin can,0.92691,0.99337,1.05045,0.98836,1.13866,1.01955,0.01834
457,key ring with the clip from the can,key ring clip can,tin can,tin can,0.8556,1.02362,1.00388,1.03438,0.31398000000000004,0.84629,-0.04374
458,rattle clip in tin,rattle clip tin,tin can,tin can,0.83555,1.15941,1.09108,1.11504,1.15205,1.07063,0.02216
459,art,art,tin can,tin can,1.00874,0.96774,0.99417,0.99228,1.20049,1.03268,0.0389
460,Remember andy warhole,remember andy warhole,tin can,tin can,0.81709,0.91376,0.99766,1.01182,0.86003,0.92007,-0.05843
513,art,art,tin can,tin can,1.00874,0.96774,0.99417,0.99228,1.20049,1.03268,0.0389
514,toys,toys,tin can,tin can,1.04971,1.0622,1.01186,0.98919,1.10227,1.04305,0.07044
515,coaster,coaster,tin can,tin can,0.90434,1.10123,0.94692,1.04088,0.97164,0.993,0.00384
516,chain,chain,tin can,tin can,0.9923,1.07395,1.07974,0.94259,1.13681,1.04508,0.06162
517,garlands,garlands,tin can,tin can,1.02641,0.98563,1.10801,0.99606,0.93222,1.00967,0.05964
596,make a wired phone,make wired phone,tin can,tin can,0.98191,0.97828,0.98063,1.03453,1.6761599999999999,1.1303,0.0473
597,trampling,trampling,tin can,tin can,0.97003,1.01438,1.00698,0.87004,0.91869,0.95602,0.01841
598,throw,throw,tin can,tin can,0.90916,1.02247,1.01921,0.96516,1.21522,1.02624,0.01252
599,catch,catch,tin can,tin can,0.88971,0.95331,0.9805,1.01275,1.25607,1.01847,-0.01067
600,buried,buried,tin can,tin can,1.09728,0.93386,1.01779,0.90307,1.22779,1.03596,0.07078
601,tasks,tasks,tin can,tin can,0.97703,0.95976,0.94895,0.96851,1.21676,1.0142,0.01639
602,Lay down,lay,tin can,tin can,1.01051,1.03928,1.0361,1.02833,1.17985,1.05881,0.05978
603,pick up,pick,tin can,tin can,0.95854,1.04511,0.9498,0.93417,1.27339,1.0322,0.02443
604,make a tower out of cans,make tower cans,tin can,tin can,1.1732,0.94054,0.96646,1.03955,1.61659,1.14727,0.11263
605,smash a window with it,smash window,tin can,tin can,0.847,0.99902,0.98259,0.8948,0.53914,0.85251,-0.05149
606,throwing a ball against a pile of cans,throwing ball pile cans,tin can,tin can,0.85861,0.91381,0.96874,0.97035,0.38078,0.81846,-0.06709
607,turn it into a lamp,turn lamp,tin can,tin can,0.85488,0.84364,0.90283,0.97672,0.3629,0.78819,-0.09289
608,make it a fan,make fan,tin can,tin can,0.94907,1.02666,0.99697,1.1068,0.39285000000000003,0.89447,-0.00157
609,turn it into a cup holder,turn cup holder,tin can,tin can,0.93793,0.92745,0.96519,0.92596,1.3064200000000001,1.01259,2.9e-4
610,litter,litter,tin can,tin can,0.98649,1.1355,1.01475,0.96377,1.09677,1.03946,0.0569
611,drink from it,drink,tin can,tin can,0.89777,1.08185,0.93314,0.9115800000000001,1.272,1.01927,0.00241
680,pollute the streets,pollute streets,tin can,tin can,0.88396,1.00383,0.96616,0.98472,0.7152000000000001,0.91077,-0.02897
681,recycle,recycle,tin can,tin can,1.04428,0.97708,1.01106,1.01989,1.06459,1.02338,0.0535
682,necklace it,necklace,tin can,tin can,0.97805,1.0355,0.99403,1.16088,1.02074,1.03784,0.03705
683,using the tab of a can to make a dress/shirt,using tab can make dress shirt,tin can,tin can,0.83945,0.9478,1.00143,1.01646,0.38195999999999997,0.83742,-0.06136
684,use the alum for making trays,use alum making trays,tin can,tin can,0.84875,0.86671,0.88818,1.00947,1.45151,1.01292,-0.05106
685,Use to do crafts with children,use crafts children,tin can,tin can,1.03527,1.08792,0.97986,1.02681,1.63344,1.15266,0.08492
789,drink,drink,tin can,tin can,0.89777,1.08185,0.93314,0.9115800000000001,1.272,1.01927,0.00241
790,to try to destroy,try destroy,tin can,tin can,0.76997,1.00826,1.0599,1.07276,0.41425999999999996,0.86503,-0.06499
791,as an example of waste,example waste,tin can,tin can,0.97901,0.95705,0.95126,1.06683,0.32909999999999995,0.85665,-0.01355
792,to throw away,throw away,tin can,tin can,0.74875,0.96614,0.88426,1.04208,0.44167,0.81658,-0.11278
793,decorate as nicely as possible,decorate nicely possible,tin can,tin can,0.97576,1.03862,1.04779,0.96865,0.61241,0.92865,0.02396
794,as a game to shoot for,game shoot,tin can,tin can,0.83528,0.9376,1.03038,1.0181499999999999,0.48368999999999995,0.86102,-0.05544
795,to indicate position discuss strategy,indicate position discuss strategy,tin can,tin can,0.97774,1.00326,0.98874,0.93429,0.6063799999999999,0.90208,0.00653
796,designating a certain point,designating certain point,tin can,tin can,0.98584,0.9274,0.98076,0.94109,1.55782,1.07858,0.03249
797,who can throw the farthest,can throw farthest,tin can,tin can,0.83455,1.02074,0.98674,1.02056,1.42275,1.05707,-0.01355
798,who can shoot the farthest,can shoot farthest,tin can,tin can,0.82116,0.91125,0.8625,0.89299,1.41907,0.98139,-0.06471
799,who can move the can to the line with his belly,can move can line belly,tin can,tin can,0.94567,1.00456,0.92863,0.97235,1.6169799999999999,1.09364,0.02321
800,between two bellies bring the can to another side,two bellies bring can another side,tin can,tin can,0.88751,1.10585,1.06759,0.83311,1.6686299999999998,1.11254,0.03949
801,fill with water to move water,fill water move water,tin can,tin can,0.7244999999999999,0.94456,0.96579,1.00074,0.32206,0.79153,-0.1172
802,Puncture holes,puncture holes,tin can,tin can,0.8245899999999999,0.96429,1.004,0.83123,1.10557,0.94594,-0.04277
803,decorate as nicely as possible,decorate nicely possible,tin can,tin can,0.97576,1.03862,1.04779,0.96865,0.61241,0.92865,0.02396
804,put in a candle for mood lighting,put candle mood lighting,tin can,tin can,0.90846,0.92791,0.99582,1.03614,0.6432599999999999,0.90232,-0.02741
886,drink from it,drink,tin can,tin can,0.89777,1.08185,0.93314,0.9115800000000001,1.272,1.01927,0.00241
887,recycling,recycling,tin can,tin can,1.03619,1.07881,1.05221,1.01022,1.15014,1.06551,0.07782
888,toss it,toss,tin can,tin can,0.93418,0.99306,1.01513,1.01835,1.06724,1.00559,0.01302
889,advertise on it,advertise,tin can,tin can,0.96466,0.93466,0.97133,0.97395,1.10034,0.98899,0.00706
890,tracing,tracing,tin can,tin can,1.00927,1.00005,0.97088,0.94229,1.08656,1.00181,0.03409
891,squash it,squash,tin can,tin can,1.05846,1.03382,1.05666,1.13678,0.95243,1.04763,0.07687
892,collect for recycling,collect recycling,tin can,tin can,0.89166,0.93361,0.94506,0.95156,0.42239000000000004,0.82886,-0.05399
893,open it,open,tin can,tin can,0.95007,1.09566,1.01869,0.96247,1.24569,1.05452,0.0421
894,catch wasps with it if you put cola in it,catch wasps put cola,tin can,tin can,0.93061,1.1001400000000001,1.00276,0.86524,1.11962,1.00367,0.02384
895,take along for the ride,take along ride,tin can,tin can,0.97414,1.01067,0.98525,0.85659,1.64313,1.09396,0.04287
896,shake before opening,shake opening,tin can,tin can,0.9275,0.8528100000000001,0.9816,0.96624,0.61475,0.86858,-0.03859
897,cooling,cooling,tin can,tin can,0.99247,1.08314,1.0745,1.09437,1.18815,1.08653,0.06964
898,turn it into a telephone with a line in between,turn telephone line,tin can,tin can,0.8873800000000001,1.0556,0.97508,1.11408,1.66792,1.14001,0.02402
899,walking on it like stilts with rope attached for children,walking like stilts rope attached children,tin can,tin can,0.90855,1.01505,1.01939,1.01898,0.39566,0.87153,-0.0186
900,knocking over at the fairground,knocking fairground,tin can,tin can,0.87944,0.97736,0.95223,0.9923,0.96524,0.95331,-0.02786
1011,lunch tray,lunch tray,tin can,tin can,0.87768,0.99039,0.8879,0.97586,0.96389,0.93914,-0.03882
1012,waste bin,waste bin,tin can,tin can,0.82919,0.92035,1.00106,1.01408,0.57955,0.86885,-0.0626
1013,make music with it,make music,tin can,tin can,0.8944799999999999,0.97381,1.00409,0.8778,0.38341000000000003,0.82672,-0.03942
1014,with rope attached and then pass something talking through it,rope attached pass something talking,tin can,tin can,0.9858,0.97739,0.99502,1.01963,1.6682299999999999,1.12921,0.05051
1015,handbag,handbag,tin can,tin can,1.01065,1.11259,1.0242,1.09722,1.0121,1.05135,0.06592
1016,as a large chain 'stone,large chain stone,tin can,tin can,1.0805,1.11399,0.99401,0.90869,1.6705,1.15354,0.10716
1017,so that the door does not close,door close,tin can,tin can,0.87403,0.98905,0.90436,0.99749,0.42442,0.83787,-0.05749
1018,planter,planter,tin can,tin can,0.94273,0.91545,1.01936,0.96995,0.94088,0.95767,-0.00238
1019,storage box,storage box,tin can,tin can,0.82279,0.98278,0.96865,0.97416,0.5797399999999999,0.86562,-0.06205
1020,binoculars with lens in them,binoculars lens,tin can,tin can,0.93302,0.9596,0.8942,1.02359,0.92187,0.94646,-0.02065
1021,to put your hair in a bun around it,put hair bun around,tin can,tin can,0.8152200000000001,0.93674,1.0552,0.91499,1.67151,1.07873,-0.01695
1027,pen tray,pen tray,tin can,tin can,0.86069,0.86992,0.95083,1.03655,0.96747,0.93709,-0.05194
1028,Tie bobbins behind your bicycle,tie bobbins behind bicycle,tin can,tin can,0.80349,1.08855,1.16771,0.97979,1.5934599999999999,1.1266,0.02375
1029,tea light,tea light,tin can,tin can,0.86313,1.03972,0.93901,0.95897,0.48405,0.85698,-0.04607
1030,turn it into a lamp,turn lamp,tin can,tin can,0.85488,0.84364,0.90283,0.97672,0.3629,0.78819,-0.09289
1031,sitting on it as a crutch,sitting crutch,tin can,tin can,0.75932,0.87294,0.9407,0.9487,1.0218,0.90869,-0.0948
1032,standing on it as a stage large can,standing stage large can,tin can,tin can,0.87397,0.95853,0.97568,1.00759,0.3134,0.82583,-0.05346
1062,tying behind a car at a newlywed couple's house,tying behind car newlywed couple house,tin can,tin can,0.80442,1.05436,1.01454,1.00685,0.36995,0.85002,-0.05589
1063,you can use it for creative projects sinterklaas surprises and so on,can use creative projects sinterklaas surprises,tin can,tin can,1.07796,1.06381,0.97785,1.01791,1.70357,1.16822,0.09993
1064,to store things in,store things,tin can,tin can,0.80409,0.93157,0.95787,1.02157,0.34565999999999997,0.81215,-0.08741
1121,ball,ball,tin can,tin can,1.02558,0.97112,1.02018,1.03434,1.12399,1.03504,0.04951
1122,electrical conductor,electrical conductor,tin can,tin can,0.88114,1.0845,0.96561,1.10581,0.97907,1.00323,-0.0022
1123,as a telephone with two cans and a string,telephone two cans string,tin can,tin can,0.91397,1.00179,1.08879,1.06534,0.37034999999999996,0.88805,-0.00525
1124,soup bowl,soup bowl,tin can,tin can,0.8166,0.98585,0.94673,1.02209,0.87921,0.9301,-0.05479
1125,drum,drum,tin can,tin can,0.98966,1.10928,1.07682,1.01579,1.10464,1.05924,0.06731
1126,musical instrument,musical instrument,tin can,tin can,0.75785,0.97666,0.97036,1.04389,0.46589,0.84293,-0.09059
1127,glasses two cans with the bottom out,glasses two cans bottom,tin can,tin can,0.93624,0.88559,0.91627,0.92193,0.38083,0.80817,-0.05218
1128,tunnel for ants or other small animals,tunnel ants small animals,tin can,tin can,1.01378,0.98009,0.92818,0.96712,0.30899,0.83963,-0.00436
1169,throw away,throw away,tin can,tin can,0.74875,0.96614,0.88426,1.04208,0.44167,0.81658,-0.11278
1170,cut open and make into jewelry,cut open make jewelry,tin can,tin can,0.92214,1.05526,0.86442,0.96516,0.31162999999999996,0.82372,-0.04002
1171,as a lampshade,lampshade,tin can,tin can,0.98809,1.04616,1.00731,0.96976,0.8393200000000001,0.97013,0.0315
1172,a beer can or canned food,beer can canned food,tin can,tin can,0.82097,0.81681,0.76737,1.07028,0.33603000000000005,0.76229,-0.13349
1173,ring with,ring,tin can,tin can,0.86414,0.97759,0.96497,1.03049,1.1395,0.99534,-0.02352
1174,make farraday cage,make farraday cage,tin can,tin can,1.05125,0.97008,1.01483,1.01682,0.42423999999999995,0.89544,0.03102
1214,target practice,target practice,tin can,tin can,0.92266,1.005,1.00886,1.03622,0.34897999999999996,0.86434,-0.01776
1215,knife tear open first,knife tear open first,tin can,tin can,0.81221,0.82962,0.98211,0.95964,0.32820000000000005,0.78236000000000006,-0.09968
1216,headgear,headgear,tin can,tin can,1.03384,1.0016,0.99212,1.00751,0.95226,0.99747,0.0452
1217,fake phone,fake phone,tin can,tin can,0.80514,1.06521,1.04868,0.8899,0.40476999999999996,0.84274,-0.05034
1256,to drink from,drink,tin can,tin can,0.89777,1.08185,0.93314,0.9115800000000001,1.272,1.01927,0.00241
1257,as soccer,soccer,tin can,tin can,1.09713,0.91757,0.98343,1.03509,1.08476,1.0236,0.06088
1258,can in the water you should really look it up on youtube,can water really look youtube,tin can,tin can,1.03559,0.98095,1.11995,1.00289,1.67249,1.16237,0.09347
1259,waste,waste,tin can,tin can,1.01464,0.9982,1.07562,0.93206,1.3017699999999999,1.06446,0.06307
1299,weapon,weapon,tin can,tin can,0.88705,1.07782,0.96477,1.03601,1.3148900000000001,1.05611,0.00934
1300,bowling,bowling,tin can,tin can,1.00375,1.06135,1.03682,1.08334,1.05416,1.04788,0.05802
1372,plastic container with lid,plastic container lid,tin can,tin can,1.03607,1.00473,0.99054,1.07282,1.08765,1.03836,0.05386
1373,pan with lid,pan lid,tin can,tin can,0.79015,0.9383,0.92029,1.09924,0.9039,0.93038,-0.07447
1374,pot with lid,pot lid,tin can,tin can,0.82536,0.89659,0.95928,0.96787,0.94242,0.9183,-0.06344
1375,thermos,thermos,tin can,tin can,1.02717,1.01303,1.02795,0.96372,0.91063,0.9885,0.04786
1376,bottle,bottle,tin can,tin can,1.0048,1.1198,1.00093,0.84343,1.19042,1.03188,0.05837
1377,drink suit,drink suit,tin can,tin can,0.8193,1.0545,1.00245,1.08279,0.46464000000000005,0.88474,-0.04579
1378,plastic bag that you can close,plastic bag can close,tin can,tin can,0.82436,1.00063,1.12432,1.04352,0.30462,0.85949,-0.038
1379,folding aluminum foil into a pointy bag,folding aluminum foil pointy bag,tin can,tin can,0.94822,1.1048,0.95151,1.04246,0.8491,0.97922,0.01813
1411,make it a toy,make toy,tin can,tin can,0.74337,0.93379,1.00234,0.9359999999999999,0.35034,0.79317,-0.10598
1412,use as a rattle,use rattle,tin can,tin can,0.81378,0.91152,0.98698,0.99662,0.63854,0.86949,-0.07116
1413,play soccer with it,play soccer,tin can,tin can,0.83646,1.03415,0.98858,1.01599,0.5969800000000001,0.89443,-0.04218
1414,store items,store items,tin can,tin can,0.83498000000000006,0.98989,0.94773,0.90744,0.36058,0.80812,-0.07065
1487,Flattening and making objects out of them,flattening making objects,tin can,tin can,1.0187,0.9689,0.94382,1.12506,1.10768,1.03283,0.03498
1488,Make toys for your feet,make toys feet,tin can,tin can,1.11055,0.97365,1.01475,0.97734,1.7118,1.15762,0.10348
1489,make yoyo,make yoyo,tin can,tin can,0.82994,0.92955,0.97552,0.9619,1.53284,1.04595,-0.03057
1490,fill,fill,tin can,tin can,0.9676,1.03474,1.00323,0.92937,1.27335,1.04166,0.03594
1491,chain of the tabs,chain tabs,tin can,tin can,0.91992,0.93196,1.03992,0.94962,0.73732,0.91575,-0.01352
1492,Use as reinforcement for walls etc,use reinforcement walls etc,tin can,tin can,0.98645,1.10673,1.03055,0.89536,0.6737500000000001,0.93857,0.03623
1503,decoration,decoration,tin can,tin can,1.08222,1.06928,1.00437,1.04333,1.04182,1.0482,0.08283
1504,soccer,soccer,tin can,tin can,1.09713,0.91757,0.98343,1.03509,1.08476,1.0236,0.06088
1505,instrument,instrument,tin can,tin can,0.95646,1.03409,1.00026,0.89906,1.1897,1.01591,0.02654
1533,make music,make music,tin can,tin can,0.8944799999999999,0.97381,1.00409,0.8778,0.38341000000000003,0.82672,-0.03942
1534,use as an ashtray,use ashtray,tin can,tin can,0.76273,0.85209,0.8713299999999999,0.91779,1.37314,0.95542,-0.09722
1535,shooting object,shooting object,tin can,tin can,0.80193,0.9378,1.09627,0.96146,0.37319,0.83413,-0.06291
1536,candlestick,candlestick,tin can,tin can,0.98592,1.00926,1.1525400000000001,1.05176,0.9369,1.02728,0.05777
1575,to drink from,drink,tin can,tin can,0.89777,1.08185,0.93314,0.9115800000000001,1.272,1.01927,0.00241
1576,to kick against,kick,tin can,tin can,1.0105,0.97233,0.94136,1.04443,1.14308,1.02234,0.03033
1577,to keep things in,keep things,tin can,tin can,0.70665,0.8945,0.97583,1.07051,0.36767000000000005,0.80303,-0.12663
1578,flowers to deploy,flowers deploy,tin can,tin can,1.01923,1.02032,1.00226,1.06759,0.66571,0.95502,0.03546
1609,can toss,can toss,tin can,tin can,0.58371,0.91887,0.91093,0.91211,0.49387000000000003,0.7639,-0.18431
1610,give to a vagrant who collects cans,give vagrant collects cans,tin can,tin can,0.83819,1.01075,0.89807,1.03009,1.5432299999999999,1.06407,-0.02506
1611,hang behind the wedding car,hang behind wedding car,tin can,tin can,0.7911900000000001,0.98236,1.01625,1.02858,0.35968,0.83561,-0.07254
1612,reuse,reuse,tin can,tin can,1.08855,1.09994,1.00853,1.02715,1.0667,1.05817,0.09164
1656,On standing,on standing,tin can,tin can,0.78495,1.01043,0.95778,0.86648,0.34768,0.79346,-0.08729
1708,car folding,car folding,tin can,tin can,0.94324,0.89224,1.0159,0.98583,0.54306,0.87605,-0.02147
1709,Make hot and cook with it/bake,make hot cook bake,tin can,tin can,0.97395,0.96572,0.94083,0.93367,0.35824,0.83448,-0.01964
1710,jewelry,jewelry,tin can,tin can,1.0424,0.96668,0.99696,1.03663,1.1238,1.03329,0.0513
1711,soccer,soccer,tin can,tin can,1.09713,0.91757,0.98343,1.03509,1.08476,1.0236,0.06088
1712,Hockey puck,hockey puck,tin can,tin can,0.87804,0.9455,0.99117,0.94491,0.95091,0.94211,-0.02885
1713,use sharp edge to cut paper,use sharp edge cut paper,tin can,tin can,0.9090199999999999,1.01697,0.94952,0.92557,1.55659,1.07153,0.0105
1714,instrument,instrument,tin can,tin can,0.95646,1.03409,1.00026,0.89906,1.1897,1.01591,0.02654
1715,tray,tray,tin can,tin can,0.91665,1.03624,1.0599,0.93726,0.95585,0.98118,0.0143
1745,Soccer balls,soccer balls,tin can,tin can,0.77811,0.98023,1.01626,0.95856,0.60648,0.86793,-0.0711
1746,Two cans and a string through them to make phone calls,two cans string make phone calls,tin can,tin can,0.80331,0.98617,0.91767,1.07218,0.36724,0.82931,-0.08331
1813,art,art,tin can,tin can,1.00874,0.96774,0.99417,0.99228,1.20049,1.03268,0.0389
1814,vase,vase,tin can,tin can,1.10318,0.99177,1.03808,1.00658,0.92276,1.01247,0.0785
1815,ashtray,ashtray,tin can,tin can,0.93379,1.05795,1.01425,0.94028,0.97945,0.98514,0.01742
1816,beer opener,beer opener,tin can,tin can,0.83361,0.94535,0.98819,1.03685,0.84417,0.92963,-0.048
1817,water collector,water collector,tin can,tin can,0.9175,0.95756,1.05405,0.95813,0.58497,0.89444,-0.01317
1903,doorstop,doorstop,tin can,tin can,1.00812,1.06591,1.00867,0.95882,0.8406899999999999,0.97644,0.04271
1904,gasoline tank,gasoline tank,tin can,tin can,0.83699,0.85527,0.93733,1.0449,0.5821000000000001,0.85132,-0.08089
1905,chemical waste drum,chemical waste drum,tin can,tin can,0.99127,0.99491,1.07896,1.01034,1.65414,1.14592,0.07016
1906,storage tank,storage tank,tin can,tin can,0.8555699999999999,0.97694,0.98473,1.03334,0.5122800000000001,0.87257,-0.04749
1907,crane,crane,tin can,tin can,0.98921,1.03928,1.06431,1.11117,1.01615,1.04402,0.05309
1908,shower head,shower head,tin can,tin can,0.8177,0.93304,1.03253,0.893,0.55796,0.84685,-0.06442
1909,phone case,phone case,tin can,tin can,0.85168,0.94687,0.90727,0.99834,0.43749000000000005,0.82833,-0.07242
1910,electrical connection,electrical connection,tin can,tin can,0.91718,0.98552,0.98246,1.02393,0.57136,0.89609,-0.01993
1911,artwork,artwork,tin can,tin can,0.95684,0.96048,0.95524,0.93907,1.09468,0.98126,0.00386
1912,sex toy,sex toy,tin can,tin can,0.80615,0.94919,0.97742,0.97933,0.48946,0.84031,-0.07601
1913,murder weapon,murder weapon,tin can,tin can,0.84987,0.92788,0.96936,0.96757,0.43901,0.83074,-0.06597
1957,planter,planter,tin can,tin can,0.94273,0.91545,1.01936,0.96995,0.94088,0.95767,-0.00238
1958,storage pens,storage pens,tin can,tin can,0.92541,0.88612,0.97872,0.96735,0.7490399999999999,0.90133,-0.02915
1959,candle holder,candle holder,tin can,tin can,0.82138,1.07794,0.99276,0.88278,0.84829,0.92463,-0.03515
1960,cup,cup,tin can,tin can,0.96545,1.00177,1.05888,0.95973,1.13477,1.02412,0.03551
1961,as a bowl,bowl,tin can,tin can,0.97109,0.99988,1.04319,0.98282,1.05788,1.01097,0.03242
1962,money box,money box,tin can,tin can,0.71844,0.90643,0.94797,0.83263,0.39442,0.75998,-0.13247
1963,washing up dryer for cutlery,washing dryer cutlery,tin can,tin can,0.95935,1.13276,1.02856,0.9976,0.94814,1.01328,0.04362
1964,fishbowl,fishbowl,tin can,tin can,0.97178,0.96482,0.97301,1.02915,0.92917,0.97359,0.01064
