id,item,response
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,5. A book can be used as kindling for a fire.
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,1. A book can be used as a doorstop.
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,2. A book can be used to level a table or other surface.
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,3. A book can be used to prop up a wobbly chair or couch.
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,4. A book can be used as a paperweight.
cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,5. A book can be used as a door stop in an open doorway to help
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,1. A book can be used as a doorstop.
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,2. A book can be used to level a table or shelf.
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,3. A book can be used as a paperweight.
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,4. A book can be used to keep papers from blowing away in the wind.
cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,5. A book can be used to make a small step stool.
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,1. A book can be used as a doorstop.
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,2. A book can be used to prop up a wobbly table.
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,3. A book can be used to make a paper airplane.
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,4. A book can be used as kindling for a fire.
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,5. A book can be used to absorb spilled liquid.
cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,6. A collection of books
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,A book can be used as A door stop.
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,A book can be used to level A table.
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,A book can be used to prop up A wobbly chair.
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,A book can be used as A paperweight.
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,A book can be used to make A small stool or side table.
cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,A book can be cut in half and the
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,1. A book can be used as a doorstop.
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,2. A book can be used to level a table or chair.
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,3. A book can be used as a paperweight.
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,4. A book can be used to prop open a window.
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,5. A book can be used as a coaster for a hot beverage.
cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,6. A book can be used
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,1. A book can be used as a doorstop.
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,2. A book can be used to level a table or chair.
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,3. A book can be used as a paperweight.
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,4. A book can be used to prop up a wobbly leg on a piece of furniture.
cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,5. A book can be used as fuel for a fire.
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,1. A book can be used as a door stop.
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,2. A book can be used to level a table or shelf.
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,3. A book can be used to prop up a wobbly chair or table leg.
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,4. A book can be used as a paperweight.
cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,5. A book can be used to smash spiders or other bugs.
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,1. A book can be used as a doorstop.
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,2. A book can be used to level a table or chair.
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,3. A book can be used as a paperweight.
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,4. A book can be used to prop up a wobbly table leg.
cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,5. A book can be used as kindling for a fire.
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,1. Make a book into a lampshade.
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,2. Turn a book into a clock by gluing numbers to the cover and attaching hands.
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,3. Create a sculpture or collage by decoupaging old book pages onto an object.
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,4. Make coasters out ofbook pages sealed with mod podge. 
cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,5. Fold the pages of an old book
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,1. A book can be used as a doorstop.
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,2. A book can be used to level a table or shelf.
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,3. A book can be used as a paperweight.
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,4. A book can be used to make a collage or sculpture.
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,5. A book can be used as fuel for a fire.
cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,6. A book can be used
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,1. A book can be used as a door stop.
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,2. A book can be used to balance a wobbly table.
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,3. A book can be used as a paperweight.
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,4. A book can be used to prop up a wonky picture frame.
cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,5. A book can be used to make a small stool more comfortable.
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,1. A book can be used as a doorstop.
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,2. A book can be used to prop up a wobbly table.
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,3. A book can be used as a coaster for your cold beverage.
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,4. A book can be used to hold open a window.
cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,5. A book can serve as a paperweight on your desk.
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,1. Make a book into a clock by attaching clock hands to the cover.
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,2. Turn a book into a secret hiding place by cutting out a square hole in the center of the pages.
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,3. Use an old book as decoration by stacking it on top of other books or placing it in an empty frame.
cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,4. Repurpose a hardcover book into a photo
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,1. A book can be used as a doorstop.
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,2. A book can be used to level a table.
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,3. A book can be used to prop up a wobbly chair.
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,4. A book can be used as a paperweight.
cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,5. A book can be used to make a paper mâché mask or sculpture.
cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,1. A book can be used as a doorstop.
cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,2. A book can be used to start a fire.
cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,3. A book can be used as a coaster for your drink.
cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,4. A book can be used to prop up a table or shelf.
cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,5. A book can be cut up and made into paper airplanes or origami shapes.
cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,1. A book can be used as a doorstop.
cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,2. A book can be used to level a table or piece of furniture.
cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,3. A book can be used as a paperweight.
cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,4. A book can be used to decorate a room or shelf.
cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,5. A book can be used as part of a centerpieces for a party or event.
cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,1. A book can be used as a doorstop.
cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,2. A book can be used to level a table or other surface.
cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,3. A book can be used to prop open a window.
cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,4. A book can be used as a coaster for a hot beverage.
cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,5. A book can be used as a weight to hold down papers or other materials.
cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,1. Use it as a back scratcher.
cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,2. Use it to pick up small items like coins or beads.
cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,3. Use it as a hairpin or hair tie.
cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,4. Turn it into a miniature shovel for potted plants.
cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,5. Stick it in the ground to mark your spot in a park
cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,1. A fork can be used as a back scratcher.
cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,2. A fork can be used to pick up small items like rice or beans.
cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,3. A fork can be used to apply makeup such as lip gloss or mascara.
cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,4. A fork can be used to clean dirt and grime out of small crevices and corners.
cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,1) A fork can be used to eat food.
cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,2) A fork can be used to hold food while cutting it with a knife.
cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,3) A fork can be used to spear food.
cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,4) A fork can be used to pick up food that has fallen on the floor.
cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,5) A fork can be used as a back scratcher.
cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,1. A fork can be used as a back scratcher.
cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,2. A fork can be used to comb your hair.
cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,3. A fork can be used as a toothpick.
cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,4. A fork can be used to scrape dirt off your shoes.
cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,5. A fork can be used to pick up small objects like paperclips or beads.
cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,1. A fork can be used as a toothpick.
cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,2. A fork can be used to make small holes in fabric so that you can thread ribbon or string through it to create decorations.
cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,3. A fork can be used as a makeshift chopsticks when eating rice or noodles.
cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,4. A fork can be used to play the steel pan drums.
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,1. A fork can be used as a hairpin.
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,2. A fork can be used as a toothpick.
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,3. A fork can be used to remove splinters.
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,4. A fork can be used to clean under your fingernails.
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,5. A fork can double as a chopstick holder. 
cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,6. Use the tines of a fork
cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,1. Use a fork to eat soup without making a mess.
cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,2. Use a fork to eat spaghetti without making a mess.
cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,3. Use a fork to eat salad without making a mess.
cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,4. Use a fork as a makeshift spoon if you don't have one handy.
cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,5. use two forks stuck together tine-side out to make impromptu chopsticks
cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,1. Eat like a king or queen with your very own fork!
cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,2. Use it as a bookmark!
cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,3. Give your pet cat or dog a bath with the help of your trusty fork.
cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,4. Get rid of pesky bugs in your home by shooing them away with a fork.
cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,5. Cook up a storm in the kitchen with some assistance from
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,1. Using a fork to eat spaghetti instead of a spoon.
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,2. Using a fork to apply makeup instead of a brush.
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,3. Using a fork as a back scratcher.
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,4. Using a fork to play the violin.
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,5. Using a fork to open bottles or cans.
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,6. Using forks as chopsticks.
cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,7. Creating art with
cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,1. A fork can be used as a back scratcher.
cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,2. A fork can be used to play the xylophone.
cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,3. A fork can be used as a toothpick.
cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,4. If you put a rubber band around the tines of a fork it becomes a mini-trampoline for ants or other small insects.
cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,1. A fork can be used as a back scratcher.
cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,2. A fork can be used to pick up food that is out of reach.
cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,3. A fork can be used to comb your hair.
cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,4. A fork can be used to apply makeup.
cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,5. A fork can be used as a toothpick.
cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,1. Use a fork to eat food off of a plate
cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,2. Stick a fork in a electrical outlet to see if it is still working
cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,3. Use a fork as a back scratcher 
cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,4. Hold a fork up to the light to see if it is bent 
cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,5. Try to balance a fork on its end 
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,1. Use a fork to play the xylophone.
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,2. Use a fork as a back scratcher.
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,3. Use a fork to measure ingredients when cooking.
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,4. Use a fork as a toothpick.
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,5. Curl your hair with a fork.
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,6. Make music with forks and spoons by banging them together or on surfaces like tables and
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,1. Use a fork to curl your hair.
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,2. Use a fork to apply makeup.
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,3. Use a fork to eat ice cream.
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,4. Use a fork to clean your teeth.
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,5. Use a fork to brush your hair.
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,6. Use a fork to pick up food that's fallen on the floor.
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,7. Use a fork to open something
cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,1. Use a fork to eat a cupcake without getting your hands messy.
cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,2. Stick a fork in an electrical outlet to see if it's still working.
cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,3. Use a fork to comb your hair.
cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,4. Use a fork as a toothpick.
cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,5. Stick a fork in the ground to mark your spot in line.
cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,fork,1. Fork art: Create fun designs and shapes using a fork as your paintbrush!
cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,fork,2. Use a fork to curl your hair – no curlers necessary!
cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,fork,3. Make music with your fork: tap it against different surfaces to create unique sounds.
cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,fork,4. Keep your drink cold by freezing a few forks and adding them to your glass.
cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,fork,1. Use a fork to eat soup instead of a spoon.
cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,fork,2. Use a fork to apply makeup instead of a brush.
cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,fork,3. Use a fork as a toothpick.
cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,fork,4. Use a fork to scratch an itch you can't reach.
cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,fork,5. Use a fork to play the piano (if the keys are big enough!).
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,1. Eat cereal with a fork instead of a spoon.
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,2. Use a fork to play fetch with your dog.
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,3. Use a fork as a bookmark in your favorite book.
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,4. Keep track of your keys by hanging them on a fork.
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,5. Use a fork to open up tightly sealed jars.
cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,6. Sift flour by using a fork instead
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,1. Use a fork to eat soup instead of a spoon.
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,2. Use a fork to play the piano.
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,3. Use a fork to brush your teeth.
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,4. Use a fork to comb your hair.
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,5. Use a fork as a bookmark in your book.
cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,6. Stick forks in the ground to make a garden fence or trellis for climbing
cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,fork,1. Use a fork to curl your hair.
cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,fork,2. Use a fork to eat soup without getting your hands dirty. 
cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,fork,3. Stick a fork in an electrical outlet to see if it’s still working. 
cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,fork,4. Hold a fork by the tines and use the handle to hammer in nails.
cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,fork,5. Place a fork in between the door and door
cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,fork,1. A fork can be used to eat food.
