"","research_id","respondent_id","response_id","temperature","object","response_EN","originality_rating","utility_rating","surprise_rating"
"127","GPT3202204",24,2022040127,0.74,"book","door stop",NA,NA,NA
"128","GPT3202204",24,2022040128,0.74,"book","balance a wobbly table",NA,NA,NA
"129","GPT3202204",24,2022040129,0.74,"book","paperweight",NA,NA,NA
"130","GPT3202204",24,2022040130,0.74,"book","prop up a wonky picture frame",NA,NA,NA
"131","GPT3202204",24,2022040131,0.74,"book","make a small stool more comfortable",NA,NA,NA
"132","GPT3202204",24,2022040132,0.74,"book","A",NA,NA,NA
"133","GPT3202204",25,2022040133,0.75,"book","doorstop",NA,NA,NA
"134","GPT3202204",25,2022040134,0.75,"book","prop up a wobbly table",NA,NA,NA
"135","GPT3202204",25,2022040135,0.75,"book","coaster for your cold beverage",NA,NA,NA
"136","GPT3202204",25,2022040136,0.75,"book","hold open a window",NA,NA,NA
"137","GPT3202204",25,2022040137,0.75,"book","can serve as a paperweight on your desk",NA,NA,NA
"138","GPT3202204",25,2022040138,0.75,"book","You",NA,NA,NA
"139","GPT3202204",26,2022040139,0.75,"book","Make a book into a clock by attaching clock hands to the cover",NA,NA,NA
"140","GPT3202204",26,2022040140,0.75,"book","secret hiding place by cutting out a square hole in the center of the pages",NA,NA,NA
"141","GPT3202204",26,2022040141,0.75,"book","Use an old book as decoration by stacking it on top of other books or placing it in an empty frame",NA,NA,NA
"142","GPT3202204",26,2022040142,0.75,"book","Repurpose a hardcover book into a photo",NA,NA,NA
"143","GPT3202204",27,2022040143,0.75,"book","doorstop",NA,NA,NA
"144","GPT3202204",27,2022040144,0.75,"book","level a table",NA,NA,NA
"145","GPT3202204",27,2022040145,0.75,"book","prop up a wobbly chair",NA,NA,NA
"146","GPT3202204",27,2022040146,0.75,"book","paperweight",NA,NA,NA
"147","GPT3202204",27,2022040147,0.75,"book","make a papier-mâché mask or sculpture",NA,NA,NA
"148","GPT3202204",28,2022040148,0.76,"book","doorstop",NA,NA,NA
"149","GPT3202204",28,2022040149,0.76,"book","start a fire",NA,NA,NA
"150","GPT3202204",28,2022040150,0.76,"book","coaster for your drink",NA,NA,NA
"151","GPT3202204",28,2022040151,0.76,"book","prop up a table or shelf",NA,NA,NA
"152","GPT3202204",28,2022040152,0.76,"book","cut up and made into paper airplanes or origami shapes",NA,NA,NA
"153","GPT3202204",29,2022040153,0.76,"book","doorstop",NA,NA,NA
"154","GPT3202204",29,2022040154,0.76,"book","level a table or piece of furniture",NA,NA,NA
"155","GPT3202204",29,2022040155,0.76,"book","paperweight",NA,NA,NA
"156","GPT3202204",29,2022040156,0.76,"book","decorate a room or shelf",NA,NA,NA
"157","GPT3202204",29,2022040157,0.76,"book","used as part of a centerpieces for a party or event",NA,NA,NA
"158","GPT3202204",30,2022040158,0.76,"book","doorstop",NA,NA,NA
"159","GPT3202204",30,2022040159,0.76,"book","level a table or other surface",NA,NA,NA
"160","GPT3202204",30,2022040160,0.76,"book","prop open a window",NA,NA,NA
"161","GPT3202204",30,2022040161,0.76,"book","coaster for a hot beverage",NA,NA,NA
"162","GPT3202204",30,2022040162,0.76,"book","weight to hold down papers or other materials",NA,NA,NA
"163","GPT3202204",31,2022040163,0.67,"fork","Use it as a back scratcher",NA,NA,NA
"164","GPT3202204",31,2022040164,0.67,"fork","Use it to pick up small items like coins or beads",NA,NA,NA
"165","GPT3202204",31,2022040165,0.67,"fork","Use it as a hairpin or hair tie",NA,NA,NA
"166","GPT3202204",31,2022040166,0.67,"fork","Turn it into a miniature shovel for potted plants",NA,NA,NA
"167","GPT3202204",31,2022040167,0.67,"fork","Stick it in the ground to mark your spot in a park",NA,NA,NA
"168","GPT3202204",32,2022040168,0.67,"fork","back scratcher",NA,NA,NA
"169","GPT3202204",32,2022040169,0.67,"fork","pick up small items like rice or beans",NA,NA,NA
"170","GPT3202204",32,2022040170,0.67,"fork","apply makeup such as lip gloss or mascara",NA,NA,NA
"171","GPT3202204",32,2022040171,0.67,"fork","clean dirt and grime out of small crevices and corners",NA,NA,NA
"172","GPT3202204",32,2022040172,0.67,"fork","fork",NA,NA,NA
"173","GPT3202204",33,2022040173,0.67,"fork","eat food",NA,NA,NA
"174","GPT3202204",33,2022040174,0.67,"fork","hold food while cutting it with a knife",NA,NA,NA
"175","GPT3202204",33,2022040175,0.67,"fork","spear food",NA,NA,NA
"176","GPT3202204",33,2022040176,0.67,"fork","pick up food that has fallen on the floor",NA,NA,NA
"177","GPT3202204",33,2022040177,0.67,"fork","back scratcher",NA,NA,NA
"178","GPT3202204",33,2022040178,0.67,"fork","A",NA,NA,NA
"179","GPT3202204",34,2022040179,0.68,"fork","back scratcher",NA,NA,NA
"180","GPT3202204",34,2022040180,0.68,"fork","comb your hair",NA,NA,NA
"181","GPT3202204",34,2022040181,0.68,"fork","toothpick",NA,NA,NA
"182","GPT3202204",34,2022040182,0.68,"fork","scrape dirt off your shoes",NA,NA,NA
"183","GPT3202204",34,2022040183,0.68,"fork","pick up small objects like paperclips or beads",NA,NA,NA
"184","GPT3202204",34,2022040184,0.68,"fork","fork",NA,NA,NA
"185","GPT3202204",35,2022040185,0.68,"fork","toothpick",NA,NA,NA
"186","GPT3202204",35,2022040186,0.68,"fork","make small holes in fabric so that you can thread ribbon or string through it to create decorations",NA,NA,NA
"187","GPT3202204",35,2022040187,0.68,"fork","makeshift chopsticks when eating rice or noodles",NA,NA,NA
"188","GPT3202204",35,2022040188,0.68,"fork","play the steel pan drums",NA,NA,NA
"189","GPT3202204",35,2022040189,0.68,"fork","A",NA,NA,NA
"190","GPT3202204",36,2022040190,0.68,"fork","hairpin",NA,NA,NA
"191","GPT3202204",36,2022040191,0.68,"fork","toothpick",NA,NA,NA
"192","GPT3202204",36,2022040192,0.68,"fork","remove splinters",NA,NA,NA
"193","GPT3202204",36,2022040193,0.68,"fork","clean under your fingernails",NA,NA,NA
"194","GPT3202204",36,2022040194,0.68,"fork","can double as a chopstick holder.",NA,NA,NA
"195","GPT3202204",36,2022040195,0.68,"fork","Use the tines of a fork",NA,NA,NA
"196","GPT3202204",37,2022040196,0.69,"fork","Use a fork to eat soup without making a mess",NA,NA,NA
"197","GPT3202204",37,2022040197,0.69,"fork","Use a fork to eat spaghetti without making a mess",NA,NA,NA
"198","GPT3202204",37,2022040198,0.69,"fork","Use a fork to eat salad without making a mess",NA,NA,NA
"199","GPT3202204",37,2022040199,0.69,"fork","Use a fork as a makeshift spoon if you don't have one handy",NA,NA,NA
"200","GPT3202204",37,2022040200,0.69,"fork","use two forks stuck together tine-side out to make impromptu chopsticks",NA,NA,NA
"201","GPT3202204",38,2022040201,0.69,"fork","Eat like a king or queen with your very own fork!",NA,NA,NA
"202","GPT3202204",38,2022040202,0.69,"fork","Use it as a bookmark!",NA,NA,NA
"203","GPT3202204",38,2022040203,0.69,"fork","Give your pet cat or dog a bath with the help of your trusty fork",NA,NA,NA
"204","GPT3202204",38,2022040204,0.69,"fork","Get rid of pesky bugs in your home by shooing them away with a fork",NA,NA,NA
"205","GPT3202204",38,2022040205,0.69,"fork","Cook up a storm in the kitchen with some assistance from",NA,NA,NA
"206","GPT3202204",39,2022040206,0.69,"fork","Using a fork to eat spaghetti instead of a spoon",NA,NA,NA
"207","GPT3202204",39,2022040207,0.69,"fork","Using a fork to apply makeup instead of a brush",NA,NA,NA
"208","GPT3202204",39,2022040208,0.69,"fork","Using a fork as a backscratcher",NA,NA,NA
"209","GPT3202204",39,2022040209,0.69,"fork","Using a fork to play the violin",NA,NA,NA
"210","GPT3202204",39,2022040210,0.69,"fork","Using a fork to open bottles or cans",NA,NA,NA
"211","GPT3202204",39,2022040211,0.69,"fork","Using forks as chopsticks",NA,NA,NA
"212","GPT3202204",39,2022040212,0.69,"fork","Creating art with",NA,NA,NA
"213","GPT3202204",40,2022040213,0.7,"fork","back scratcher",NA,NA,NA
"214","GPT3202204",40,2022040214,0.7,"fork","play the xylophone",NA,NA,NA
"215","GPT3202204",40,2022040215,0.7,"fork","toothpick",NA,NA,NA
"216","GPT3202204",40,2022040216,0.7,"fork","If you put a rubber band around the tines of a fork it becomes a mini-trampoline for ants or other small insects",NA,NA,NA
"217","GPT3202204",40,2022040217,0.7,"fork","plastic",NA,NA,NA
"218","GPT3202204",41,2022040218,0.7,"fork","back scratcher",NA,NA,NA
"219","GPT3202204",41,2022040219,0.7,"fork","pick up food that is out of reach",NA,NA,NA
"220","GPT3202204",41,2022040220,0.7,"fork","comb your hair",NA,NA,NA
"221","GPT3202204",41,2022040221,0.7,"fork","apply makeup",NA,NA,NA
"222","GPT3202204",41,2022040222,0.7,"fork","toothpick",NA,NA,NA
"223","GPT3202204",41,2022040223,0.7,"fork","used to",NA,NA,NA
"224","GPT3202204",42,2022040224,0.7,"fork","Use a fork to eat food off of a plate",NA,NA,NA
"225","GPT3202204",42,2022040225,0.7,"fork","Stick a fork in a electrical outlet to see if it is still working",NA,NA,NA
"226","GPT3202204",42,2022040226,0.7,"fork","Use a fork as a back scratcher",NA,NA,NA
"227","GPT3202204",42,2022040227,0.7,"fork","Hold a fork up to the light to see if it is bent",NA,NA,NA
"228","GPT3202204",42,2022040228,0.7,"fork","Try to balance a fork on its end",NA,NA,NA
"229","GPT3202204",42,2022040229,0.7,"fork","See how far you can",NA,NA,NA
"230","GPT3202204",43,2022040230,0.71,"fork","Use a fork to play the xylophone",NA,NA,NA
"231","GPT3202204",43,2022040231,0.71,"fork","Use a fork as a back scratcher",NA,NA,NA
"232","GPT3202204",43,2022040232,0.71,"fork","Use a fork to measure ingredients when cooking",NA,NA,NA
"233","GPT3202204",43,2022040233,0.71,"fork","Use a fork as a toothpick",NA,NA,NA
"234","GPT3202204",43,2022040234,0.71,"fork","Curl your hair with a fork",NA,NA,NA
"235","GPT3202204",43,2022040235,0.71,"fork","Make music with forks and spoons by banging them together or on surfaces like tables and",NA,NA,NA
"236","GPT3202204",44,2022040236,0.71,"fork","Use a fork to curl your hair",NA,NA,NA
"237","GPT3202204",44,2022040237,0.71,"fork","Use a fork to apply makeup",NA,NA,NA
"238","GPT3202204",44,2022040238,0.71,"fork","Use a fork to eat ice cream",NA,NA,NA
"239","GPT3202204",44,2022040239,0.71,"fork","Use a fork to clean your teeth",NA,NA,NA
"240","GPT3202204",44,2022040240,0.71,"fork","Use a fork to brush your hair",NA,NA,NA
"241","GPT3202204",44,2022040241,0.71,"fork","Use a fork to pick up food that's fallen on the floor",NA,NA,NA
"242","GPT3202204",44,2022040242,0.71,"fork","Use a fork to open",NA,NA,NA
"243","GPT3202204",45,2022040243,0.71,"fork","Use a fork to eat a cupcake without getting your hands messy",NA,NA,NA
"244","GPT3202204",45,2022040244,0.71,"fork","Stick a fork in an electrical outlet to see if it's still working",NA,NA,NA
"245","GPT3202204",45,2022040245,0.71,"fork","Use a fork to comb your hair",NA,NA,NA
"246","GPT3202204",45,2022040246,0.71,"fork","Use a fork as a toothpick",NA,NA,NA
"247","GPT3202204",45,2022040247,0.71,"fork","Stick a fork in the ground to mark your spot in line",NA,NA,NA
"248","GPT3202204",45,2022040248,0.71,"fork","Use a fork",NA,NA,NA
"249","GPT3202204",46,2022040249,0.72,"fork","Fork art: Create fun designs and shapes using a fork as your paintbrush!",NA,NA,NA
"250","GPT3202204",46,2022040250,0.72,"fork","Use a fork to curl your hair – no curlers necessary!",NA,NA,NA
"251","GPT3202204",46,2022040251,0.72,"fork","Make music with your fork: tap it against different surfaces to create unique sounds",NA,NA,NA
"252","GPT3202204",46,2022040252,0.72,"fork","Keep your drink cold by freezing a few forks and adding them to your glass",NA,NA,NA
"253","GPT3202204",46,2022040253,0.72,"fork","Get rid of",NA,NA,NA
"254","GPT3202204",47,2022040254,0.72,"fork","Use a fork to eat soup instead of a spoon",NA,NA,NA
"255","GPT3202204",47,2022040255,0.72,"fork","Use a fork to apply makeup instead of a brush",NA,NA,NA
"256","GPT3202204",47,2022040256,0.72,"fork","Use a fork as a toothpick",NA,NA,NA
"257","GPT3202204",47,2022040257,0.72,"fork","Use a fork to scratch an itch you can't reach",NA,NA,NA
"258","GPT3202204",47,2022040258,0.72,"fork","Use a fork to play the piano (if the keys are big enough!)",NA,NA,NA
"259","GPT3202204",47,2022040259,0.72,"fork","Use a fork in",NA,NA,NA
"260","GPT3202204",48,2022040260,0.72,"fork","Eat cereal with a fork instead of a spoon",NA,NA,NA
"261","GPT3202204",48,2022040261,0.72,"fork","Use a fork to play fetch with your dog",NA,NA,NA
"262","GPT3202204",48,2022040262,0.72,"fork","Use a fork as a bookmark in your favorite book",NA,NA,NA
"263","GPT3202204",48,2022040263,0.72,"fork","Keep track of your keys by hanging them on a fork",NA,NA,NA
"264","GPT3202204",48,2022040264,0.72,"fork","Use a fork to open up tightly sealed jars",NA,NA,NA
"265","GPT3202204",48,2022040265,0.72,"fork","Sift flour by using a fork instead",NA,NA,NA
"266","GPT3202204",49,2022040266,0.73,"fork","Use a fork to eat soup instead of a spoon",NA,NA,NA
"267","GPT3202204",49,2022040267,0.73,"fork","Use a fork to play the piano",NA,NA,NA
"268","GPT3202204",49,2022040268,0.73,"fork","Use a fork to brush your teeth",NA,NA,NA
"269","GPT3202204",49,2022040269,0.73,"fork","Use a fork to comb your hair",NA,NA,NA
"270","GPT3202204",49,2022040270,0.73,"fork","Use a fork as a bookmark in your book",NA,NA,NA
"271","GPT3202204",49,2022040271,0.73,"fork","Stick forks in the ground to make a garden fence or trellis for climbing",NA,NA,NA
"272","GPT3202204",50,2022040272,0.73,"fork","Use a fork to curl your hair",NA,NA,NA
"273","GPT3202204",50,2022040273,0.73,"fork","Use a fork to eat soup without getting your hands dirty.",NA,NA,NA
"274","GPT3202204",50,2022040274,0.73,"fork","Stick a fork in an electrical outlet to see if it’s still working.",NA,NA,NA
"275","GPT3202204",50,2022040275,0.73,"fork","Hold a fork by the tines and use the handle to hammer in nails",NA,NA,NA
"276","GPT3202204",50,2022040276,0.73,"fork","Place a fork in between the door and door",NA,NA,NA
"277","GPT3202204",51,2022040277,0.73,"fork","eat food",NA,NA,NA
"278","GPT3202204",51,2022040278,0.73,"fork","utensil to cook food",NA,NA,NA
"279","GPT3202204",51,2022040279,0.73,"fork","serve food",NA,NA,NA
"280","GPT3202204",51,2022040280,0.73,"fork","tool to eat difficult foods such as lobster or steak",NA,NA,NA
"281","GPT3202204",51,2022040281,0.73,"fork","play musical instruments such as the violin or",NA,NA,NA
"282","GPT3202204",52,2022040282,0.74,"fork","Eating soup",NA,NA,NA
"283","GPT3202204",52,2022040283,0.74,"fork","Holding up a table",NA,NA,NA
"284","GPT3202204",52,2022040284,0.74,"fork","Using as a hairbrush",NA,NA,NA
"285","GPT3202204",52,2022040285,0.74,"fork","Wearing as a necklace",NA,NA,NA
"286","GPT3202204",52,2022040286,0.74,"fork","Building a fort",NA,NA,NA
"287","GPT3202204",52,2022040287,0.74,"fork","Pretending to be a telephone",NA,NA,NA
"288","GPT3202204",52,2022040288,0.74,"fork","Using as chopsticks",NA,NA,NA
"289","GPT3202204",52,2022040289,0.74,"fork","Making music with it",NA,NA,NA
"290","GPT3202204",52,2022040290,0.74,"fork","Digging in the sand",NA,NA,NA
"291","GPT3202204",53,2022040291,0.74,"fork","hairpin",NA,NA,NA
"292","GPT3202204",53,2022040292,0.74,"fork","eat soup",NA,NA,NA
"293","GPT3202204",53,2022040293,0.74,"fork","back scratcher",NA,NA,NA
"294","GPT3202204",53,2022040294,0.74,"fork","pick up food that has fallen on the floor",NA,NA,NA
"295","GPT3202204",53,2022040295,0.74,"fork","play the piano",NA,NA,NA
"296","GPT3202204",53,2022040296,0.74,"fork","used",NA,NA,NA
"297","GPT3202204",54,2022040297,0.74,"fork","Use a fork to eat soup",NA,NA,NA
"298","GPT3202204",54,2022040298,0.74,"fork","Stick a fork in a piece of fruit to eat it",NA,NA,NA
"299","GPT3202204",54,2022040299,0.74,"fork","Use a fork as a spoon when eating cereal or yogurt",NA,NA,NA
"300","GPT3202204",54,2022040300,0.74,"fork","Hold a fork like chopsticks to eat rice or noodles",NA,NA,NA
"301","GPT3202204",54,2022040301,0.74,"fork","Stick a fork in your hair to hold it back while you're cooking",NA,NA,NA
"302","GPT3202204",54,2022040302,0.74,"fork","Use a fork",NA,NA,NA
"303","GPT3202204",55,2022040303,0.75,"fork","Use a fork to comb your hair",NA,NA,NA
"304","GPT3202204",55,2022040304,0.75,"fork","Use a fork to apply makeup",NA,NA,NA
"305","GPT3202204",55,2022040305,0.75,"fork","Use a fork as a toothpick",NA,NA,NA
"306","GPT3202204",55,2022040306,0.75,"fork","Stick a fork in an electrical outlet to see if it's still working",NA,NA,NA
"307","GPT3202204",55,2022040307,0.75,"fork","Hold a fork by the tines and use the handle as a drumstick",NA,NA,NA
"308","GPT3202204",55,2022040308,0.75,"fork","Place a fork in front of a",NA,NA,NA
"309","GPT3202204",56,2022040309,0.75,"fork","Use a fork to fluff up your hair for a quick and easy hairstyle",NA,NA,NA
"310","GPT3202204",56,2022040310,0.75,"fork","Stick a fork in an electrical outlet to see if it's still working",NA,NA,NA
"311","GPT3202204",56,2022040311,0.75,"fork","Use a fork as a bookmark in your favorite book",NA,NA,NA
"312","GPT3202204",56,2022040312,0.75,"fork","Straighten out a bent fork with another fork",NA,NA,NA
